GrowingSeason,Site,Variety,AUDPC,DiseaseSeverity,YieldAttainable,YieldActual,YieldLossRaw,YieldLossPerc,AGBattainable,AGBactual,AveTx,AveTn,AveRHx,AveRHn,TotalPrec,TotalRad,TotalLW
1973,indiana,Generic,0.0,0.0,0.0,0.0,0.0,0.0,682.2973203052912,577.2973203052919,10.311302325581396,2.3443139535958664,91.18379560193111,58.11780417333094,253.78229400342533,696.6299999999999,681.0
1974,indiana,Generic,0.0,0.0,1914.2372750678512,1914.2372750678512,0.0,0.0,3941.541128395049,3836.5411283950507,11.63521484375,2.6132148438717286,92.75381123614798,55.65062148452991,816.9682128631878,3118.49,2434.0
1975,indiana,Generic,0.0,0.0,2188.1058547134403,2188.1058547134403,0.0,0.0,6026.9749852364,5921.974985236406,12.597571428571428,3.5883721805726836,91.38499591053713,53.194579548143295,664.2093711502392,3594.98,2118.0
1976,indiana,Generic,0.0,0.0,1741.5144374451797,1741.5144374451797,0.0,0.0,3717.498997617002,3612.4989976170023,10.685282868525896,0.44072111567607225,87.9270461612457,47.34697178776164,469.55324071916846,3453.71,1477.0
1977,indiana,Generic,0.0,0.0,2221.9817017878063,2221.9817017878063,0.0,0.0,6382.238254296079,6277.2382542960795,11.426774809160303,1.9275343512732057,90.66658317363475,51.51144921420263,639.9778259179136,3587.1600000000003,1838.0
1978,indiana,Generic,0.0,0.0,1838.0819829050706,1838.0819829050706,0.0,0.0,5788.526636976304,5683.526636976306,10.19375464684015,0.8255204462230544,93.66268750196996,54.54611058611299,679.5685633644124,3632.27,2292.0
1979,indiana,Generic,0.0,0.0,2134.2851889100793,2134.2851889100793,0.0,0.0,5384.107019967124,5279.107019967128,10.838815789473685,1.3967255640371712,92.43043075423687,53.60045165329263,694.6794355392676,3537.59,2209.0
1980,indiana,Generic,0.0,0.0,1903.2207308985314,1903.2207308985314,0.0,0.0,5528.666742282847,5423.666742282848,10.791348148148147,1.7985370371583722,90.37352957566061,52.40979025629843,672.111422025232,3526.7499999999995,1955.0
1981,indiana,Generic,0.0,0.0,1975.8850874859443,1975.8850874859443,0.0,0.0,5288.316126860286,5183.316126860287,11.46913409961686,2.1629118775201994,92.08713650955825,52.10554029357629,843.8153666997473,3416.2799999999997,2063.0
1982,indiana,Generic,0.0,0.0,1701.6456497658294,1701.6456497658294,0.0,0.0,5986.847797735273,5881.847797735276,11.478245353159851,1.9533717473404097,91.98513901630011,53.84660377483119,931.8386089534697,3576.3200000000006,2457.0
1983,indiana,Generic,0.0,0.0,2315.533912458545,2315.533912458545,0.0,0.0,4352.429403853877,4247.429403853879,10.88524521072797,2.317881226169234,91.43762241672849,54.12084516703875,816.8270785710235,3263.3500000000004,1986.0
1984,indiana,Generic,0.0,0.0,2155.0894851672847,2155.0894851672847,0.0,0.0,5495.541997743003,5390.541997743005,11.732925373134329,2.870309701612116,92.59333495010695,54.76765358950892,805.7610579793142,3366.34,2336.0
1985,indiana,Generic,0.0,0.0,2454.785496447998,2454.785496447998,0.0,0.0,4819.650018201379,4714.6500182013815,10.791574297188754,1.8066586346593814,91.4628442734763,53.63790893222237,923.4159881157246,3073.8900000000003,1983.0
1986,indiana,Generic,0.0,0.0,2010.533483066508,2010.533483066508,0.0,0.0,4894.4471920718015,4789.447192071804,11.630284584980235,2.6993280633616075,91.12734519888494,54.034738414502556,628.8922182426052,3127.08,1931.0
1987,indiana,Generic,0.0,0.0,1936.1863498168075,1936.1863498168075,0.0,0.0,6000.610923011671,5895.610923011672,12.768443137254902,3.3442392158134298,88.85935646361821,50.36691613718345,555.3096568644735,3431.95,1600.0
1988,indiana,Generic,0.0,0.0,2034.7509266023699,2034.7509266023699,0.0,0.0,5580.3223600091005,5475.322360009104,11.626474903474902,1.4366332047706902,84.95201677467902,45.450455159508124,561.5722480322311,3758.7000000000003,1514.0
1989,indiana,Generic,0.0,0.0,2068.051767910443,2068.051767910443,0.0,0.0,5736.365976537644,5631.365976537648,11.160011320754718,1.6745660378638312,91.29087673288628,51.673178727687535,663.5060119513693,3657.14,1959.0
1990,indiana,Generic,0.0,0.0,2063.8345244711572,2063.8345244711572,0.0,0.0,4173.446275021335,4068.4462750213356,13.10357587548638,3.760194552655248,91.03179899624989,52.35187875340313,851.2958645645907,3182.82,2008.0
